category,title,p_rating,count,itemId,overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Food Planet – Gateway to the West Loop Food Tour
Rentals,Bay City Bike Rentals and Tours – Golden Gate Bridge to Sausalito,4.2,129,328,"See San Francisco by bike on this tour that guides you from Fisherman's Wharf to Sausalito. The trip takes two to three hours and covers 8 miles. After making your way along the waterfront, you'll pedal across the Golden Gate Bridge, stopping for photo-ops along the way. At the conclusion of the tour, you can either bike your way back to the city or opt to take the ferry from Sausalito to San Francisco for an additional fee. Tourgoers say guides are friendly and informative and the sights are beautiful. Tours are open to all ages. Ticket prices start at $55 for adults; prices for children vary. From March through October, tours are available daily at 10 a.m. and 1 p.m.; tours are available daily at 10 a.m. the rest of the year. The company also offers a Streets of San Francisco Electric Bike Tour, among other options.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extranomical Tours – Yosemite National Park and Giant Sequoias Tour
Extranomical,Extranomical Tours – Yosemite National Park and Giant Sequoias Tour,3.8,456,329,"Once you've gotten your fill of the city, trek to California's incomparable natural wonders with a daytrip to Yosemite National Park. On the approximately 15-hour tour, you'll stop at Tuolumne Meadows to see the 2,000-year-old giant sequoia trees, then hit top stops like El Capitan, Yosemite Falls and Bridalveil Fall. Buses, which pick up from most hotels, are equipped with tour guides who provide commentary along the way. Tourgoers appreciate the information provided by the guides and rave about the scenery. The trip departs every day of the year. Tickets start at $179 for adults and $165 for children 11 and younger if purchased online. Tickets do not include meals, but do over the park entrance fee. Extranomical Tours offers a variety of city tours, as well as excursions to wine country and Monterey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inside Chicago Walking Tours – Dazzling Interiors of the Loop
Walking,Inside Chicago Walking Tours – Dazzling Interiors of the Loop,4.2,456,330,"Inside Chicago Walking Tours' The World Within: Dazzling Interiors of the Loop tour reveals interior architectural details that visitors might otherwise miss. Highlights of the two-hour tour include a gilded 80-foot-high ceiling, art deco lobbies, early Frank Lloyd Wright designs and rooms with stained-glass mosaics. Reviewers describe this tour, which involves about 1 1/2 miles of walking, as an informative and entertaining way to learn about the history of Chicago and its diverse, distinctive buildings. Tickets start at $30 for participants 11 and older and $25 for children ages 5 to 10 and patrons 65 and older. Children ages 4 and younger tour for free. Outings run Saturdays at 11 a.m. Inside Chicago also offers other architecture-oriented tours as well as private tours.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dylan's Tours – Dylan's Famous Tour with Muir Woods
Seaview,Dylan's Tours – Dylan's Famous Tour with Muir Woods,2.2,158,331,"If you're hoping to see the best of the Bay Area in one day, consider this six-hour excursion. You'll travel by minibus to some of San Francisco's most iconic neighborhoods and landmarks, including North Beach, Chinatown, Pacific Heights and the Painted Ladies before enjoying a snack in the charming town of Sausalito. From there, you'll spend more than an hour in Muir Woods. The tour starts and ends at Fisherman's Wharf and includes multiple photo stops. Reviewers describe tour guides as insightful and funny, and say the bus is very clean. The tour departs daily at 8:30 a.m. and tickets cost approximately $99 for adults and $69 for children 12 and younger. Combo tours to Alcatraz and electric bike tours are also available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brooks Lake Lodge & Spa: Dubois, Wyoming"
Lake,"Brooks Lake Lodge & Spa: Dubois, Wyoming",4.4,123,332,"Located near Grand Teton National Park in northwestern Wyoming, Brooks Lake Lodge & Spa's room rates include seasonal activities designed to take advantage of the state's expansive offerings. Summer means horseback riding, canoeing, hiking and fishing, while winter ushers in opportunities for snowshoeing, snowmobiling and ice fishing. Rates also include three meals a day, with staples like eggs and waffles for breakfast, and sandwiches and salads for lunch. Dinner deviates a bit toward a more luxurious selection of seafood, beef, game and poultry entrees, plus appetizers and desserts. Families can pick between lodge rooms and log cabins during their stay at Brooks Lake, and all accommodations sport lots of lumber and rustic decorative elements like wood-paneled walls and lodgepole pine beds. Lodge rooms include modern perks like Wi-Fi access, while log cabins supplement these techy perks with authentic touches like kettle stoves and clawfoot tubs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Migis Lodge on Sebago Lake: South Casco, Maine"
Seaside,"Migis Lodge on Sebago Lake: South Casco, Maine",3.8,783,333,"Located in southern Maine and about 25 miles northwest of Portland, Migis Lodge on Sebago Lake continues its more than centurylong tradition of welcoming families for a weekend of relaxation and bonding. Rates at Migis Lodge cover lodging, three daily meals and an assortment of activities. Programming for children includes the Migis Kids' Camp for little ones ages 4 through 6 and an Adventure Camp for youngsters 7 and older, plus supervised evening programs for when parents want a few hours to themselves. As for accommodations, families can opt to stay in the main building or one of 35 cottages. All digs come with fireplaces and balconies or elevated porches, plus Wi-Fi access, flat-screen TVs and handmade quilts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Town Trolley Tours of Washington D.C.
Heritage,Old Town Trolley Tours of Washington D.C.,4.8,482,334,"According to reviewers, this trolley tour provides an educational and relaxing outing, thanks to informative commentary from onboard guides. The tour lasts about 90 minutes and has one 30-minute stop at the Lincoln Memorial so travelers can stretch their legs and see monuments within the National Mall on their own. Silver Pass tickets cost approximately $45. Trollies run hourly from 10 a.m. to about 4 p.m. The Gold pass (around $55) includes a tour of Arlington National Cemetery. Old Town Trolley Tours also offers specialized Arlington National Cemetery tours, as well as the Monuments by Moonlight Tour, among others.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D.C. By Foot – National Mall Tour
Mall,D.C. By Foot – National Mall Tour,4.2,890,335,"D.C. By Foot's National Mall walking tour is a two-hour, mile-long stroll that includes stories about famous landmarks like the Vietnam Veterans Memorial, the Lincoln Memorial, and the Washington Monument. Travelers praise the tour, saying it is chock-full of information and that the guides are engaging. D.C. By Foot is a pay-what-you-want tour: it's free, though it is assumed you will tip your licensed, freelance guides. Tours depart Wednesdays at 10 a.m. and Fridays and Saturdays at 1:30 p.m.. The company also conducts a slightly shorter Scavenger Hunt at the Mall tour, which is geared toward kids, and a bevy of other tours around the city.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capital Segway Tours
Seaview,Capital Segway Tours,2.2,656,336,"Seeing all of Washington's landmarks on foot is an ambitious goal, but if you swap walking for riding a Segway, you'll be able to glide to most of them. Highlights on this approximately two-hour tour include the White House, the National Archives, the Smithsonian, the Washington Monument and the Capitol. Every rider receives a radio headset, which makes it easy to hear the guide's descriptions. Reviewers say the guides are great and that the tours provide the perfect overview of the city, which in turn helps visitors decide where they want to spend more time. Participants must be 16 or older and weigh at least 100 pounds to ride. Tickets start at $60. Tours run year-round and are offered several times a day, weather permitting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walk of the Town – Monumental sTOURies
Walking,Walk of the Town – Monumental sTOURies,1.6,350,337,"Walk of the Town is a one-man show run by ""semiretired"" former teacher Tim Stewart. On his Monumental sTOURies tour, Stewart walks travelers to major sites, such as the White House, President's Park and the Lincoln Memorial, among other top attractions. Over the four-hour tour, Stewart shares historical facts and stories about the area's monuments. Stewart earns rave reviews from visitors, who praise him for his vast knowledge, humor and lessons in history. Tours are free; Stewart works for tips only. Tours start at 10 a.m., though the schedule varies. You can also arrange private, for-fee tours with Stewart.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Fern Travel – U Street Food Tour
Travelling,Blue Fern Travel – U Street Food Tour,2.6,700,338,"This U Street tour run by Blue Fern Travel (formerly Carpe D.C. Food Tours) is purportedly the company's most popular, which makes sense because the U Street neighborhood is one of the liveliest in the city. During the three-hour tour, your guide will take you to severallocally-owned restaurants for hearty samples. As you make your way along U Street, you'll learn about the neighborhood's history, architecture and jazz heritage. Foodies find the history lessons surprising and informative; some love the information almost as much as the food. Tours, which are limited to eight people, venture daily (except Tuesdays) at 11:30 a.m. or noon year-round. Tickets cost approximately $90 per person. Blue Fern also offers food tours of Baltimore and Old Town Alexandria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghost City Tours – Savannah Haunted Pub Crawl
Old Place,Ghost City Tours – Savannah Haunted Pub Crawl,3.8,25,339,"This adults-only (21 and older) evening pub crawl takes travelers to some of the city's most haunted pubs and taverns. During the roughly two-hour tour, guides share creepy tales about each bar stop. You'll also hear stories of murder and hoodoo. Thanks to Savannah's lack of open container laws, you can take an alcoholic beverage with you and imbibe along the way. Most reviewers say the tour provides a fun outing and the ghost stories are entertaining. Others complain of busy bars and expensive drinks. Tours run daily at 8 and 9 p.m., with additional tour times on the weekends. Tickets cost approximately $30 per person. For a more family-friendly experience, consider the company's Grave Tales Tour.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Orb Savannah Ghost Tours – Savannah Shadows
Old Place,Blue Orb Savannah Ghost Tours – Savannah Shadows,4.4,23,340,"Blue Orb's Savannah Shadows tour is based on the book of the same name written by the company's founder, Tobias McGriff. This 90-minute tour is suitable for all ages and stops at locations known for their paranormal activity, such as the Hanging Square (generally known as Wright Square). Tickets cost approximately $25. Tours are typically offered Wednesday through Sunday at 8 p.m. Many reviewers comment that the tour offers the right mix of history and storytelling, along with chilling details. Others say that though the tales are spooky, they aren't too scary for kids. For a real thrill, the company offers an adults-only Zombie Tour that focuses on the voodoo concept of the walking undead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savannah Ghostwalker Tour
Gate Walk,Savannah Ghostwalker Tour,1.6,45,341,"During this 2 1/2-hour tour, guides (or ""ghostwalkers"") lead you down live oak-lined streets past haunted antebellum homes to battlefields and hidden cemeteries where paranormal events are a common occurrence. As you walk, ghostwalkers recount the scary stories of Savannah's eerie past. You can even search for otherworldly activity with your own ""ghost-hunting"" equipment. Travelers enjoy guides' ability to highlight the city's historical facts in their ghost stories. Visitors also say that the electromagnetic field meters add a fun twist to the tour. Tours run nightly at 9 p.m. Tickets start at $35 per person. Savannah Ghostwalker limits its tours to 15 people.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Bahamas
Travelling,The Bahamas,3.8,778,342,"A popular tourist destination among stateside citizens, the Bahamas are welcoming American visitors to the picturesque islands. Travelers must complete a Travel Health Visa application and provide a negative COVID-19 test taken no more than five days before arrival. Visitors are also required to opt-in to health insurance that will cover them for the entirety of their stay (the cost of which is included in the Travel Health Visa application fee). Anyone planning to stay on the island for more than five days must take a rapid antigen test on the fifth day. Additionally, those who travel around the Bahamas without wearing face coverings will be subject to fines. Learn more about traveling details on the tourism website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbados
Country Visit,Barbados,2.2,345,343,"As long as travelers (older than 5) complete a travel form online no less than 24 hours before their flight and provide a negative coronavirus test result taken within 72 hours of their entrance to the island, they can vacation in this Caribbean paradise. Even with a negative result in hand, travelers must quarantine in an approved hotel or villa for a minimum of five days at which time they can take another test to be released. Potential travelers should continue to monitor Barbados’ rules, as they are projected to change on May 8. Visit the Barbados website for more information regarding traveling during the pandemic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belize
Country Visit,Belize,1.8,789,344,"American travelers (anyone 5 and older) will be required to present a negative coronavirus test taken no more than 96 hours prior to departure to Belize. (Rapid antigen tests taken no more than 48 hours before arrival are also accepted.) If you don’t present a negative test, you’ll have to front a $50 fee (paid in cash) and take a test upon arrival. A negative test means visitors can move freely around the country. U.S. visitors must also complete health forms on the Belize Health App to gain entry into the country. Keep in mind, a curfew is in effect from 10 p.m. to 5 a.m. For more information, visit the Belize tourism website or the U.S. Embassy in Belize website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyannis Whale Watcher Cruises – Barnstable
Movie,Hyannis Whale Watcher Cruises – Barnstable,2.6,890,345,"Offering whale watching tours since 1980, this company, which operates out of Barnstable Harbor, takes participants to Stellwagen Bank National Marine Sanctuary on a boat specifically designed for whale watching and maneuverability. There are three levels for viewing, as well as bench seating throughout the boat. Plus, a naturalist accompanies each trip to provide educational commentary. Tours last about 3 1/2 to four hours and often feature sightings of minkes, humpbacks and finbacks. Reviewers report seeing lots of whales and say the captain is skilled at positioning the boat so everyone has a view. The company offers tours once or twice daily, depending on the month, at varying times between 8:30 a.m. and 4 p.m. Tickets start at $65 for ages 13 and older, $45 for ages 3 to 12 and are free for children younger than 3. The company also offers chartered cruises.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dolphin Fleet – Whale Watch
Dolphen Fleet,Dolphin Fleet – Whale Watch,4.4,345,346,"Don't let the company's name fool you: Dolphin Fleet is all about whales. And because it departs from Provincetown – the closest port to Stellwagen Bank National Marine Sanctuary – whales are often spotted as soon as the boat leaves port. During the three- to four-hour cruise, the onboard naturalist will help passengers identify whales and other animals like dolphins and sea birds. Tourgoers say guides are very informative and that they see plenty of whales. Tours, which depart from Provincetown's MacMillan Pier, run mid-April through October at multiple times throughout the day, depending on the month and season. Dolphin Fleet also offers a sunset trip that is available June through August only. Along with two decks and an indoor heated and air-conditioned cabin, there is also an informational science center on board. Tickets cost approximately $65 for adults, $40 for ages 5 to 12 and are free for children 4 and younger. If no whales are sighted, you can return for another tour.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Captain John Boats
Boating,Captain John Boats,2.8,234,347,"Take a four-hour whale watching tour out of either Plymouth or Provincetown with Captain John Boats. The Plymouth tour heads to Cape Cod Bay and Stellwagen Bank in search of various species of whales, while the Provincetown tour departs from Macmillan Wharf on a quest to find right and pilot whales, among others. If no whales are spotted, you're invited to return on a future tour free of charge. Reviewers say they learn a lot about whales and see both whales and calves, as well as dolphins.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowpoke Corner Corral Stables – 4 Hour Ride
Travelling,Cowpoke Corner Corral Stables – 4 Hour Ride,3.6,765,348,"Cowpoke Corner Corral Stables is owned by the same company as National Park Gateway Stables, but it offers different excursions. Located 3 miles southwest of Estes Park, you'll find the stables situated behind Glacier Lodge at the base of Gianttrack Mountain. The popular four-hour ride takes tourgoers to the top of Rams Horn Mountain in Roosevelt National Forest. This exciting adventure boasts stunning views of the Estes Park Valley, the Continental Divide and Rocky Mountain National Park. The outings depart Tuesday and Thursday from May through September or early October at 8 a.m. and 1 p.m. The price is approximately $160 per person.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson Stables – 2 Hour Moraine Park
Park,Jackson Stables – 2 Hour Moraine Park,2.8,343,349,"Jackson Stables keeps between 120 and 130 horses on its property and offers many horseback riding options, including the family-friendly two-hour Moraine Park ride. This trip features bridge crossings over Glacier Creek and the Big Thompson River to arrive at Moraine Park. A moraine is the soil and rock left behind from a moving glacier. This moraine in the national park is alive with wildflowers and boasts incredible views of the Continental Divide. You may also see wildlife along the trails.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Croatia
Country Visit,Croatia,2.6,75,350,"Americans are once again allowed to visit Croatia, with some restrictions. You must show proof of a negative coronavirus test taken no more than 48 hours prior to arrival, or take a test upon arrival and quarantine while awaiting results. Also, you must provide documented evidence of an accommodation paid in advance. Visit the Croatian government's specific COVID-19 website to learn more about how the country is dealing with the pandemic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Verde
Park,Cape Verde,3.4,456,351,"Travelers from the U.S. can visit Cape Verde as long as they provide proof of a negative test (either PCR or antigen) taken no more than 72 hours before travel. There are no quarantine requirements upon arrival. For more information, visit the embassy website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Virgin Islands
Seaside,British Virgin Islands,2.2,789,352,"These picturesque islands are now open for visitors. Any Americans planning to travel here must first show proof of a negative test taken no more than five days prior to arrival. Completion of an online travel authorization certificate is also required, in addition to a $175 entry fee. Visitors will receive a second test upon arrival and quarantine; they must then take a third test on their fourth day on the island, the results of which will determine if they can travel around the islands. For more information, visit the U.S. embassy website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Food Planet – Gateway to the West Loop Food Tour
Food,Chicago Food Planet – Gateway to the West Loop Food Tour,3.4,324,353,"Chicago Food Planet's Gateway to the West Loop spotlights some of the tastiest dishes in the city – specifically pizza, doughnuts and burgers. The three-hour tour centers on the West Loop neighborhood's incredible food scene and provides insider insights to the history and culture of the area. Guides regularly win praise from travelers for their knowledge and enthusiasm. Ticket prices start at $65 for adults and $50 for children ages 12 and younger. Reviewers find the tour worth the price for the generous amounts of food provided. What's more, group sizes are restricted to 14 people and tours do not involve extensive walking. Tours are offered Thursday through Sunday at 1 p.m. Chicago Food Planet also offers tours of Chicago's Chinatown neighborhood.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red and White Fleet – Bridge 2 Bridge Cruise
Wild,Red and White Fleet – Bridge 2 Bridge Cruise,4.6,567,354,"Take in San Francisco's two most famous bridges on this 90-minute boat trip through San Francisco Bay. In addition to sailing beneath both the Bay Bridge and Golden Gate Bridge, tourgoers will see Alcatraz, Treasure Island and the city skyline, among other landmarks. Red and White Fleet provides an audio guide available in 16 different languages that details the city's history. Reviewers say they enjoy the views, the helpful commentary, and the clean and comfortable boats. Tours are available Thursday through Sunday at 11:30 a.m., 6:30 p.m. or 7 p.m., depending on the day. Cruises depart from Fisherman's Wharf. Tickets start at $48 for adults and $36 for youths ages 5 to 17. Children 4 and younger can ride for free, but require a ticket. Short on time? Red and White Fleet also offers an hourlong Golden Gate Bay Cruise, among other tours.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vantigo – San Francisco City Tours
Street,Vantigo – San Francisco City Tours,3.8,879,355,"Instead of a traditional tour bus, Vantigo transports up to seven passengers in a vintage Volkswagen van to see all the city has to offer. The three-hour tour highlights 15 points of interest, with plenty of opportunities for photos and views of Haight-Ashbury, the Golden Gate Bridge, Twin Peaks and more. Reviewers love the Volkswagen, which they say is roomy and comfortable, and describe the guides as fun and informative. Tours leave multiple times throughout the day from Fisherman's Wharf and Union Square. Tickets start at $65 per adult or $45 per child ages 5 to 11. Children 4 and younger are not permitted on public tours. Combo tours to Alcatraz are also available, as are brewery tours.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seaplane Adventures – SF City Sites Tour
Adventures,Seaplane Adventures – SF City Sites Tour,2.6,12,356,"After you've walked the city streets and sailed the bay's waters, your next step should be an air tour. On this 20-minute flight from Seaplane Adventures, you'll depart from Sausalito – a charming town located across the Golden Gate Bridge – then fly over downtown and above Alcatraz and Angel Island before landing back in Sausalito. Reviewers describe the trip as amazing and one of the best activities they did while visiting San Francisco. Tickets cost approximately $179 per adult and $155 per child ages 3 to 11. Seaplane Adventures conducts several other air tours, including a 45-minute Greater Bay Area Tour.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avital Food Tours – Mission District Food Tour
Food,Avital Food Tours – Mission District Food Tour,4.4,34,357,"Eat your way through one of San Francisco's most famous neighborhoods with Avital's Mission District food tour. The three-hour tour offers a culinary history of the Mission District, which is recognized for both its Mexican cuisine and colorful murals. Along the way, enjoy four courses (two appetizers, an entree and a dessert) at four area restaurants. Tastings vary with each tour but may include cheeses, tacos, churros, burritos, quesadillas or salted caramel ice cream. Reviewers say the tour is fun, well-paced and educational. Tours are limited to eight people. Tickets start at $99 per person. Foodies 21 and older can choose to upgrade their tour to include three alcohol pairings for an additional $26 per person. Children are allowed on the tour, though there is no discount, and Avital advises that its outings are best suited for older children. Tours are offered Sundays at 10 a.m. The company also offers tours of North Beach.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local Tastes of the City Tours – North Beach/Little Italy Walking Food Tour
Food,Local Tastes of the City Tours – North Beach/Little Italy Walking Food Tour,2.4,66,358,"According to reviewers, this tour is a must for food and history lovers thanks to experienced guides who are engaging storytellers. Along the three-hour tour, you'll explore seven to eight blocks of North Beach (or ""Little Italy""). Samples of the neighborhood's best pizza, pastries, coffee, chocolates and more are all included in the cost of the tour. Travelers say the portions are generous and recommend arriving to the tour hungry. Tours are generally offered daily at 10:30 a.m. with an additional noon tour available on select days. Tickets cost approximately $70 for adults, $40 for youths ages 12 to 16 and $15 for children ages 2 to 11; infants 1 and younger can tag along for free. Still hungry? Consider the company's Chinatown tours.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electric Tour Company – Official Golden Gate Park Segway Tour
Electric ,Electric Tour Company – Official Golden Gate Park Segway Tour,2.6,45,359,"Riding a Segway can be a fun and expedient way to see a number of top attractions in a short amount of time. The Electric Tour Company offers you a chance to see dozens of sights in the iconic Golden Gate Park in the span of 2 1/2 hours, visiting the Conservatory of Flowers, the Shakespeare Garden, the California Academy of Sciences and the Spreckels Temple of Music along the way. The tour begins with a 30-minute training for first-time riders. All riders must be at least 12 years old and weigh between 100 and 250 pounds. Reviewers praise their guides, who they say are helpful and descriptive, and describe the Segways as easy to ride. From June to August, tours are offered daily at 10:30 a.m. and 2 p.m., with an additional 3 p.m. tour on the weekends. The rest of the year, tours are available to book Friday, Saturday and Sunday at 10:30 a.m. and 2 p.m. Tickets start at $79 per adult and $65 per youth ages 12 to 17. Bike and electric scooter tours of the park are also available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bay City Bike Rentals and Tours – Golden Gate Bridge to Sausalito
Rentals,Bay City Bike Rentals and Tours – Golden Gate Bridge to Sausalito,4.2,56,360,"See San Francisco by bike on this tour that guides you from Fisherman's Wharf to Sausalito. The trip takes two to three hours and covers 8 miles. After making your way along the waterfront, you'll pedal across the Golden Gate Bridge, stopping for photo-ops along the way. At the conclusion of the tour, you can either bike your way back to the city or opt to take the ferry from Sausalito to San Francisco for an additional fee. Tourgoers say guides are friendly and informative and the sights are beautiful. Tours are open to all ages. Ticket prices start at $55 for adults; prices for children vary. From March through October, tours are available daily at 10 a.m. and 1 p.m.; tours are available daily at 10 a.m. the rest of the year. The company also offers a Streets of San Francisco Electric Bike Tour, among other options.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extranomical Tours – Yosemite National Park and Giant Sequoias Tour
Extranomical,Extranomical Tours – Yosemite National Park and Giant Sequoias Tour,3.8,129,361,"Once you've gotten your fill of the city, trek to California's incomparable natural wonders with a daytrip to Yosemite National Park. On the approximately 15-hour tour, you'll stop at Tuolumne Meadows to see the 2,000-year-old giant sequoia trees, then hit top stops like El Capitan, Yosemite Falls and Bridalveil Fall. Buses, which pick up from most hotels, are equipped with tour guides who provide commentary along the way. Tourgoers appreciate the information provided by the guides and rave about the scenery. The trip departs every day of the year. Tickets start at $179 for adults and $165 for children 11 and younger if purchased online. Tickets do not include meals, but do over the park entrance fee. Extranomical Tours offers a variety of city tours, as well as excursions to wine country and Monterey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inside Chicago Walking Tours – Dazzling Interiors of the Loop
